,Glucose,Ethanol,Acetate,Maltose
YOR116C,0.02899,0.01238,0.01006,0.00971
YOR117W,0.10692,0.03746,0.03096,0.05072
YOR118W,0.01755,0.00624,0.00564,0.00661
YOR119C,0.01169,0.00298,0.00345,0.00412
YOR076C,0.01168,0.00547,0.00451,0.00368
YOR077W,0.00584,0.00127,0.00068,0.00260
YOR078W,0.03748,0.01191,0.01090,0.01301
YOR079C,0.03647,0.01172,0.01127,0.01312
YOR080W,0.01195,0.00524,0.00446,0.00688
YOR081C,0.03914,0.01134,0.00867,0.00935
YOR082C,0.00368,0.00146,0.00152,0.00156
YOR083W,0.00111,0.00057,0.00033,0.00114
YOR084W,0.19925,0.13613,0.08866,0.07153
YOR085W,0.07295,0.02594,0.02427,0.02821
YOR086C,0.03001,0.00997,0.00757,0.01110
YOR087W,0.00460,0.00103,0.00089,0.00336
YOR088W,0.03087,0.01616,0.01220,0.01127
YOR089C,0.06107,0.01732,0.01445,0.02731
YOR090C,0.03309,0.01170,0.00789,0.01194
YOR091W,0.02833,0.00929,0.00699,0.00705
YOR092W,0.00845,0.00230,0.00281,0.00446
YOR093C,0.00753,0.00302,0.00281,0.00253
YOR094W,0.02883,0.01041,0.01159,0.01076
YOR095C,0.02847,0.02845,0.02656,0.00987
YOR096W,0.57102,0.15233,0.18448,0.32048
YOR052C,0.08656,0.03724,0.02625,0.04105
YOR053W,0.00613,0.00370,0.00333,0.00266
YOR054C,0.02264,0.00581,0.00503,0.00753
YOR055W,0.00053,0.00016,0.00020,0.00015
YOR056C,0.02681,0.00996,0.00876,0.01252
YOR057W,0.02979,0.01097,0.00861,0.01051
YOR058C,0.01168,0.00219,0.00190,0.00420
YOR059C,0.05682,0.01689,0.01258,0.02083
YOR060C,0.00169,0.00051,0.00065,0.00082
YOR061W,0.06651,0.01799,0.01642,0.02198
YOR062C,0.02977,0.01312,0.01142,0.01426
YOR063W,0.33767,0.09821,0.07932,0.18192
YOR064C,0.04290,0.02427,0.02587,0.01817
YOR065W,0.20542,0.07724,0.06626,0.07933
YOR066W,0.01036,0.00362,0.00353,0.00377
YOR067C,0.05188,0.01814,0.01925,0.02205
YOR068C,0.00016,0.00020,0.00048,0.00035
YOR070C,0.01206,0.00719,0.00519,0.00525
YOR071C,0.00235,0.00145,0.00144,0.00086
YOR072W,0.00476,0.00277,0.00203,0.00335
YOR073W,0.01290,0.00501,0.00430,0.00567
YOR075W,0.02426,0.00910,0.00926,0.00856
YOR029W,0.00080,0.00055,0.00036,0.00061
YOR030W,0.00144,0.00033,0.00041,0.00065
YOR031W,0.08836,0.03031,0.02173,0.05556
YOR032C,0.00081,0.00011,0.00004,0.00042
YOR033C,0.00875,0.00368,0.00255,0.00353
YOR034C,0.01705,0.00673,0.00467,0.00825
YOR035C,0.01284,0.00491,0.00394,0.00550
YOR036W,0.02531,0.00835,0.00789,0.01187
YOR037W,0.02801,0.00898,0.00844,0.01115
YOR038C,0.02280,0.01076,0.00962,0.00814
YOR039W,0.06309,0.01849,0.01829,0.02034
YOR040W,0.02873,0.00747,0.00782,0.00900
YOR041C,0.00163,0.00033,0.00053,0.00058
YOR042W,0.02434,0.00998,0.00706,0.01082
