,MA_020,MA_023,MA_027,MA_030,MA_032,MA_034
YIL108W,0.00013,0.00011,0.00012,0.00012,0.00010,0.00012
YIL109C,0.00021,0.00012,0.00022,0.00019,0.00018,0.00019
YIL110W,0.00003,0.00005,0.00006,0.00005,0.00005,0.00008
YIL111W,0.00083,0.00108,0.00112,0.00125,0.00119,0.00132
YIL112W,0.00030,0.00032,0.00037,0.00040,0.00038,0.00041
YIL113W,0.00064,0.00071,0.00076,0.00065,0.00068,0.00069
YIL114C,0.00001,0.00002,0.00001,0.00002,0.00003,0.00004
YIL115C,0.00008,0.00005,0.00008,0.00011,0.00010,0.00007
YIL115W-A,0.00602,0.00446,0.00812,0.00660,0.00654,0.00674
YIL116W,0.00004,0.00001,0.00004,0.00003,0.00005,0.00004
YIL117C,0.00009,0.00004,0.00019,0.00016,0.00020,0.00022
YIL118W,0.00003,0.00002,0.00003,0.00002,0.00002,0.00003
YIL119C,0.00006,0.00003,0.00005,0.00005,0.00005,0.00005
YIL120W,0.00128,0.00093,0.00070,0.00137,0.00156,0.00151
